"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","STATUS","AS ON DATE","SUBMISSION DATE","REVISION DATE","ACTION","BROADCAST DATE/TIME","EXCHANGE DISSEMINATION TIME","TIME TAKEN"
"UPL Limited","33.5","66.5","0","-","30-SEP-2025","14-OCT-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1547777_14102025052734_WEB.xml","14-OCT-2025 17:27:43","14-OCT-2025 17:27:46","00:00:03"
"UPL Limited","33.5","66.5","0","-","30-JUN-2025","19-JUL-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_1487381_19072025101356_WEB.xml","19-JUL-2025 10:14:05","19-JUL-2025 10:14:09","00:00:04"
"UPL Limited","33.5","66.5","0","-","31-MAR-2025","16-APR-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_197453_1415885_16042025042117_WEB.xml","16-APR-2025 16:21:18","16-APR-2025 16:21:21","00:00:03"
"UPL Limited","33.5","66.5","0","-","17-JAN-2025","29-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_196108_1363932_29012025102510_WEB.xml","29-JAN-2025 10:25:12","29-JAN-2025 10:25:15","00:00:03"
"UPL Limited","33.51","66.49","0","-","31-DEC-2024","15-JAN-2025",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_194667_1345553_15012025110958_WEB.xml","15-JAN-2025 11:09:59","15-JAN-2025 11:10:03","00:00:04"
"UPL Limited","33.51","66.49","0","-","20-DEC-2024","27-DEC-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_193816_1333314_27122024045818_WEB.xml","27-DEC-2024 16:58:19","27-DEC-2024 16:58:23","00:00:04"
"UPL Limited","32.52","67.48","0","-","30-SEP-2024","18-OCT-2024",,"https://nsearchives.nseindia.com/corporate/xbrl/SHP_192700_1276292_18102024095715_WEB.xml","18-OCT-2024 09:57:16","18-OCT-2024 09:57:20","00:00:04"
"UPL Limited","32.52","67.48","0","Revised","30-JUN-2024","18-JUL-2024","30-JUL-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_190040_1206694_30072024051402_WEB.xml","31-JUL-2024 11:12:21","31-JUL-2024 11:12:25","00:00:04"
"UPL Limited","32.52","67.48","0","Revised","31-MAR-2024","19-APR-2024","30-JUL-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_187811_1206686_30072024051253_WEB.xml","31-JUL-2024 11:12:14","31-JUL-2024 11:12:18","00:00:04"
"UPL Limited","32.52","67.48","0","Revised","31-DEC-2023","16-JAN-2024","30-JUL-2024","https://nsearchives.nseindia.com/corporate/xbrl/SHP_184382_1206672_30072024051120_WEB.xml","31-JUL-2024 11:11:34","31-JUL-2024 11:11:39","00:00:05"
