date,ADANIENT,ADANIPORTS,AMBUJACEM,APOLLOHOSP,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BEL,BHARTIARTL,BOSCHLTD,BPCL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,ETERNAL,GAIL,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,ICICIBANK,ICICIGI,ICICIPRULI,INDIGO,INDUSINDBK,INFY,IOC,ITC,JIOFIN,JSWSTEEL,KOTAKBANK,LT,LTIM,LUPIN,M&M,MARUTI,MAXHEALTH,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TMPV,TRENT,ULTRACEMCO,UPL,VEDL,WIPRO,YESBANK,ZEEL
2018-03-31,92242081588.13254,700169526902.3778,407030609228.302,144659171290.76477,1009094809411.8359,,1303863576379.4666,,,82016134906.46399,,99495843410.92615,99436069363.82442,1378249708355.482,,283372905858.28894,264013026894.8584,414182457978.19653,929611903059.3828,273618517255.33203,65398243659.787476,72322639196.6206,,182379876791.0998,656860672160.1838,538014852401.3906,1145990631894.8643,896444697814.6495,,456934287389.65265,250069532805.89676,2542053827068.8394,1718625183719.792,,,490471028818.6162,1027950421578.6984,993155238606.7523,699518984118.36,0.0,,635782678615.5176,1986850239291.5322,1629771978389.502,207771536257.35693,,853657843207.834,2485567833690.547,,35819312379.121216,861454631333.075,1478527783418.1953,,2469981500236.659,666820251464.8438,2057892690210.5208,547454199081.4453,56565813406.81518,,1107359770779.604,152873572706.808,,,55244936886.42243,2280282693812.5303,473577424184.1577,813321524431.1572,,,1046592045115.6311,228357733546.90613,403868684386.07056,447936462164.8752,687103012459.8367,514941922332.9071
2018-06-30,78579253834.77252,737837490072.8517,365564934010.8256,142322142046.6961,1144215358151.5173,,1304629695402.487,,,92317422556.10663,,129262114940.89331,76378401398.21117,1320347184103.245,,247474761890.4439,330042890965.1543,468289395433.78784,867429928003.0577,260667931361.80786,70281056451.4823,72906571403.51562,,188874578113.35754,629525420491.1123,515671372407.15967,1289272481743.3477,900145831201.1055,,490922923854.83307,189674377671.88168,3152640901187.3926,1701400801926.874,,,413714386972.4497,1110098419326.8086,1175192350410.8862,617921760763.3326,0.0,,721061253807.7319,2546516341318.633,1585668929000.707,259020941266.40918,,1037120859887.5566,2475610401712.7734,,43027455231.936035,810437204331.897,1317203642681.672,,2740066743451.658,664930419921.875,2135712244654.901,525745674900.95215,51058932228.31543,,1261464768988.2725,160621437439.65454,,,54925689795.82001,5964518675294.118,485997092994.2739,758254181991.3428,,,1011795013564.2825,193509613920.8606,343328338075.39417,416648928854.8715,772538221390.395,486711876176.8564
2018-09-30,141804211747.76257,653619374996.2185,393936094579.7896,142257292264.02505,1170322352102.34,,1567012726985.9365,,,95281182684.76862,,122247016576.26514,56641774553.67823,1177978720410.8198,,252910637315.91083,310776877843.68823,499124887652.0156,873664615833.6676,331558622726.1255,80303334715.48764,61928308915.63452,,211212687410.40558,642406403823.1083,606901380734.6602,1279893055671.2517,773299663859.0908,,491725181790.1,184003186335.22226,3089749402173.504,1897101989673.9473,,,316032606762.9093,976208200768.5947,2625380573734.109,615135891274.9758,0.0,,850854218108.6377,2166810396642.0813,1602137688328.5205,301121097101.2588,,1002741320081.4453,2079444350525.1465,,42621354637.121346,859213914807.3212,1485067179915.3281,,3545660622067.9336,504453857421.875,2186356718756.4565,572029139660.7422,45439208600.1709,,1398189319924.2046,139392092384.45886,,,57233913181.87012,6922604697389.318,565916484069.5577,698376245832.1289,,,1078675769856.9915,210228497946.98273,337659550809.0079,516240059399.766,418360023390.97205,394548046512.2464
2018-12-31,174812224943.90594,770471918024.4204,396667508114.24927,171746068717.5205,1245471260306.2622,,1584495405681.6562,,,102749050692.55493,,149152090595.61804,62037889512.90966,1096412874025.8542,,245204669478.40503,665025786145.4722,396662240082.53284,813564437748.4924,374998414377.7295,83035047243.29745,59313804154.812256,,200791363184.50644,519207775747.8325,525082294811.7175,1354837861792.1123,765783343803.4365,,484373289896.65454,185320394460.6228,3515512490501.037,2238078374545.0903,,,445701287268.5032,924997183569.4572,2395644492292.6113,576050583590.4213,0.0,,683871408520.1,2385571590286.526,1811149114049.9731,274550893961.7793,,936237348038.0508,2112710474632.5586,,48938172917.15991,767550749350.8972,1256272994505.0474,,3160418390910.546,589499023437.5,2436696464921.5864,583673141909.7168,49148867348.9624,,965778469150.929,130834764482.64624,,,51306446785.77431,6013848761362.723,549202847865.3906,807085780333.6963,,,1060381550633.3438,239960490305.66348,318227136256.528,527264199202.61615,414690346864.9334,428598063291.5497
2019-03-31,149621898642.06573,757753210254.9293,411468769915.3922,161461506274.05103,1357903830655.1794,,1996855245083.0984,,,110293873986.44067,,168926977025.1322,65952221831.010315,1157636604161.9688,,269510769794.98993,661001980178.8931,401336697503.47437,812154516891.879,418476120853.38135,86233412680.7124,53542433604.138794,,205289733217.25436,522074741578.21326,590770373142.1201,1472539123024.7148,738258381103.6633,,433305480416.1752,205065379137.90894,3253330339431.581,2491231623065.388,,,550312174354.2461,1054338214488.0054,2692783921031.747,663349425041.9147,0.0,,642627363459.4592,2547142911739.7915,1747718280071.869,265494807195.13232,,763979453999.7812,1866715678272.373,,48886290033.85217,1033447449638.4264,1336331789208.9036,,3833452374021.4917,607592712402.3438,2626928955461.0767,619674692289.0137,50666997287.0918,,1066621768858.5093,118639811912.31993,,,49854077100.95665,6368180695982.346,587336402804.7546,983283752334.6973,,,1038620719157.6562,294012895681.1316,283154771123.63654,723859839807.3737,630531337039.0302,398327657785.8124
2019-06-30,163411428759.41882,815186034175.9163,377749098675.3517,185517981933.0282,1238602551717.7637,,2106589483353.0095,,,135233369827.45312,,208257795492.51746,80255540316.26674,1700246658043.944,,274120762877.6904,585681145890.9873,422669108143.0023,873040328102.8826,403907625162.5708,80964761606.95312,49042723837.6875,,357728268536.01685,574879623245.5762,581904560961.7734,1577871495969.0378,922102441548.6569,,443432262744.8053,224965429322.4907,3478797477573.7104,2721236178052.6016,,,596396521274.5365,817231105176.9016,2667928896759.422,641141700524.9485,0.0,,616654710473.0615,2807034747557.296,1958070228184.1638,290319650583.1875,,763280689342.9395,1849282944809.834,,52828574127.60205,1076079681209.9011,1437906947614.917,,3532323927174.8145,715973266601.5625,2974852898879.7446,740156037003.125,43113812882.22656,,899488918706.5803,162573301658.91907,,,49666984236.77728,7147924130837.186,527392762160.2207,1157054129868.2812,,,1210535440746.0205,298910344830.3699,277270646683.17847,797215320865.8153,252042456945.0,304642726653.34595
2019-09-30,158844404290.30585,807491674334.2843,361954075004.9159,191238977622.3025,1607041640037.9504,,1923092073838.524,,,135093659950.84534,,229306036528.74976,78625341927.23651,1800645321264.2715,,336217161832.5974,632109807157.0767,326940462189.9706,687458946188.0157,425713898734.9536,86457992208.1831,45859448398.09497,,307877330425.64996,463603681966.05774,591779194431.1177,3180184368786.173,1194638923404.941,,412631759667.7986,234001291049.23438,3857036551437.52,2709635130471.4224,,,725640455799.7181,925894160116.554,2911319470718.163,611105554701.033,0.0,,520658387284.6978,3127878618491.0522,1882816006615.3015,242743459787.3994,,646148945351.7441,1927057350257.6074,,62670627332.38037,912933399717.0337,1136788205581.7146,,3778029229146.0967,837363098144.5312,2230007483908.745,641762785726.6602,42736722807.518555,,879366517569.9353,166370885201.92447,,,36425466219.117966,6753181687973.822,545116251401.75665,1108619716129.9805,,,1156473227492.0645,433292741708.39966,245146327722.01462,645128151304.4302,105583758254.89816,241246108408.87994
2019-12-31,226912790816.26953,713955572281.9923,348288735830.7327,197611307307.91077,1630845716247.8406,,2117534138544.4558,,,149064037467.16492,,249020666445.13852,72635875354.36594,2236027790160.544,,351558230043.5449,650475370767.7715,367501877719.006,727017444402.1381,471799885858.4375,91980328614.39404,58152930839.3418,,277089604265.0153,472298312571.58826,1247026418633.7224,3299640706925.2896,1244697934143.4365,,466135200062.85223,205148620180.9616,3761766322779.619,3371939508858.673,,,512279398965.98486,1010644103951.7539,2675447336583.9844,520517653897.0429,0.0,,611453717824.0685,3205460208349.125,1658349557319.4219,283479853067.71094,,627726264434.8224,2114374274963.0273,,66970865952.802,924976236653.0568,1110912500835.1514,,4293637267484.243,951336879086.6772,2748393604779.792,716603682359.8125,46937030705.515625,,976684929311.3394,193707558314.0235,,,47696674630.88309,7110265615673.724,581866936309.4031,1034511354609.1113,,,1132648286002.0781,419351039869.1592,242442772762.9397,661283178937.8953,119744673191.3059,265507458146.28067
2020-03-31,150955646599.77612,495628133712.6815,276323821370.75,156377884512.66614,1528739860875.614,,1064969348693.8892,,,72899108320.11293,,130597605815.6905,54939568849.85376,2299316138241.564,,239057802400.39413,577678643048.6582,328370708281.0409,525204641988.6881,512208986835.3174,99863670575.79309,34092646296.752075,,185932196407.32816,302375103931.081,961143606125.9297,2238197278327.6455,877564973325.5084,,206397192561.60312,147443313321.94806,4496384547557.477,2026797246308.912,,,409558426853.4319,235283269018.364,2347641757455.347,355173802625.83014,0.0,,331142823847.5757,2469078390307.129,1047491445183.0125,231525855916.71777,,336507576339.8594,1230501294405.664,,73834259654.1101,658334102901.8262,632827962107.7731,,3158473486930.027,634172803065.0714,1621037563690.4587,620248353540.75,26478479943.65759,,801225798109.4956,259519768002.86545,,,27240805652.971466,6064034158476.83,437770815454.50146,813101040917.6661,,,908383253803.9648,234248273854.31787,106368899712.31268,531355488465.1184,281758111161.20044,112627123552.86179
2020-06-30,171415829627.46857,678259167059.6622,346605803331.8801,185318193313.58533,1547957889741.6406,,1142803981966.1028,,,92809345406.09253,,166857038396.83902,65418306228.01423,2919646540671.18,,282131881182.8313,783069201095.3174,497196086000.57526,498203821766.5102,586849470500.8838,126283871648.32227,47729820143.74463,,248327735273.67117,393581219860.2324,1226427060429.2507,2771347284213.7646,1091815065776.4453,,315319759578.4236,168113285025.54703,4660015582916.813,2201302893757.7637,,,379863868981.8172,318011331043.3703,2730058066211.1426,371268594107.73193,0.0,,428730869876.6406,2680864217659.6074,1222678942477.24,317353277723.542,,603103782908.0,1675264180245.7324,,78080446861.47876,749031166559.4177,753741729340.2338,,5203649359482.341,797871483673.2942,1469515673570.1545,814834646313.1875,27638783860.186768,,1075616565785.9906,343502580196.2731,,,33010279224.56173,6934639170458.256,420804252705.8982,827165060560.4883,,,1089984323683.9905,305060840525.77,174925053924.9766,593463739571.1349,321292093901.2252,155473395830.38483
