,promoter_shares,public_shares,total_shares,free_float_factor,ticker,report_date
0,853770953,300409776,1154180729,0.2603,ADANIENT,30-09-25
1,853770953,300409776,1154180729,0.2603,ADANIENT,30-06-25
2,853770953,300409776,1154180729,0.2603,ADANIENT,31-03-25
3,853770953,300409776,1154180729,0.2603,ADANIENT,31-12-24
4,853770953,286230168,1140001121,0.2511,ADANIENT,30-09-24
5,851770953,288230168,1140001121,0.2528,ADANIENT,30-06-24
6,827750953,312250168,1140001121,0.2739,ADANIENT,31-03-24
7,827750953,312250168,1140001121,0.2739,ADANIENT,31-12-23
8,827750953,312250168,1140001121,0.2739,ADANIENT,30-09-23
9,771248453,368752668,1140001121,0.3235,ADANIENT,30-06-23
10,789248453,350752668,1140001121,0.3077,ADANIENT,31-03-23
11,827949621,312051500,1140001121,0.2737,ADANIENT,31-12-22
12,827949621,312051500,1140001121,0.2737,ADANIENT,30-09-22
13,823963481,316037640,1140001121,0.2772,ADANIENT,30-06-22
14,823963481,316037640,1140001121,0.2772,ADANIENT,12-05-22
15,823963481,275846602,1099810083,0.2508,ADANIENT,31-03-22
16,823963481,275846602,1099810083,0.2508,ADANIENT,31-12-21
17,823963481,275846602,1099810083,0.2508,ADANIENT,30-09-21
18,823963481,275846602,1099810083,0.2508,ADANIENT,30-06-21
19,823963481,275846602,1099810083,0.2508,ADANIENT,31-03-21
20,823963481,275846602,1099810083,0.2508,ADANIENT,31-12-20
21,823963481,275846602,1099810083,0.2508,ADANIENT,30-09-20
22,823963481,275846602,1099810083,0.2508,ADANIENT,30-06-20
23,823963481,275846602,1099810083,0.2508,ADANIENT,31-03-20
24,823963481,275846602,1099810083,0.2508,ADANIENT,31-12-19
25,823963481,275846602,1099810083,0.2508,ADANIENT,30-09-19
26,823963481,275846602,1099810083,0.2508,ADANIENT,30-06-19
27,823963481,275846602,1099810083,0.2508,ADANIENT,31-03-19
28,823963481,275846602,1099810083,0.2508,ADANIENT,31-12-18
29,823963481,275846602,1099810083,0.2508,ADANIENT,30-09-18
30,823963481,275846602,1099810083,0.2508,ADANIENT,30-06-18
31,1423376085,736762860,2160138945,0.3411,ADANIPORTS,30-09-25
32,1423376085,736762860,2160138945,0.3411,ADANIPORTS,30-06-25
33,1423376085,736762860,2160138945,0.3411,ADANIPORTS,31-03-25
34,1423376085,736762860,2160138945,0.3411,ADANIPORTS,31-12-24
35,1423376085,736762860,2160138945,0.3411,ADANIPORTS,30-09-24
36,1423376085,736762860,2160138945,0.3411,ADANIPORTS,30-06-24
37,1423376085,736762860,2160138945,0.3411,ADANIPORTS,31-03-24
38,1423376085,736762860,2160138945,0.3411,ADANIPORTS,31-12-23
39,1415608785,744530160,2160138945,0.3447,ADANIPORTS,30-09-23
40,1358522067,801616878,2160138945,0.3711,ADANIPORTS,30-06-23
41,1318314567,841824378,2160138945,0.3897,ADANIPORTS,31-03-23
42,1406914567,753224378,2160138945,0.3487,ADANIPORTS,31-12-22
43,1394555867,765583078,2160138945,0.3544,ADANIPORTS,19-10-22
44,1394555867,717817363,2112373230,0.3398,ADANIPORTS,30-09-22
45,1394555767,717817463,2112373230,0.3398,ADANIPORTS,30-06-22
46,1384555767,727817463,2112373230,0.3445,ADANIPORTS,31-03-22
47,1373949104,738424126,2112373230,0.3496,ADANIPORTS,21-02-22
48,1303327635,738424126,2041751761,0.3617,ADANIPORTS,31-12-21
49,1303327635,738424126,2041751761,0.3617,ADANIPORTS,30-09-21
50,1302460635,739291126,2041751761,0.3621,ADANIPORTS,30-06-21
51,1294991018,736760743,2031751761,0.3626,ADANIPORTS,31-03-21
52,1294991018,736760743,2031751761,0.3626,ADANIPORTS,31-12-20
53,1293306018,738445743,2031751761,0.3635,ADANIPORTS,30-09-20
54,1275683942,756067819,2031751761,0.3721,ADANIPORTS,31-03-20
55,1268999322,762752439,2031751761,0.3754,ADANIPORTS,31-12-19
56,1268999322,762752439,2031751761,0.3754,ADANIPORTS,30-09-19
57,1290229754,780722007,2070951761,0.377,ADANIPORTS,30-06-19
58,1290229754,780722007,2070951761,0.377,ADANIPORTS,31-03-19
59,1290229754,780722007,2070951761,0.377,ADANIPORTS,31-12-18
60,1290229754,780722007,2070951761,0.377,ADANIPORTS,30-09-18
61,1290229754,780722007,2070951761,0.377,ADANIPORTS,30-06-18
62,1372471076,698480685,2070951761,0.3373,ADANIPORTS,31-03-18
63,1672081052,798418494,2471823478,0.323,AMBUJACEM,30-09-25
64,1663381052,798418494,2463123478,0.3241,AMBUJACEM,30-06-25
65,1663381052,798418494,2463123478,0.3241,AMBUJACEM,31-03-25
66,1663381052,798418494,2463123478,0.3241,AMBUJACEM,31-12-24
67,1663381052,798402585,2463123478,0.3241,AMBUJACEM,30-09-24
68,1731337052,730446585,2463123478,0.2966,AMBUJACEM,30-06-24
69,1731337052,730446585,2463123478,0.2966,AMBUJACEM,12-04-24
70,1465889561,730446585,2197675987,0.3324,AMBUJACEM,31-03-24
71,1465889561,730446585,2197675987,0.3324,AMBUJACEM,29-03-24
72,1253858803,730446585,1985645229,0.3679,AMBUJACEM,31-12-23
73,1253858803,730446585,1985645229,0.3679,AMBUJACEM,30-09-23
74,1253858803,730180639,1985645229,0.3677,AMBUJACEM,30-06-23
75,1253858803,729777482,1985843229,0.3675,AMBUJACEM,31-03-23
76,1253858763,729579522,1985645229,0.3674,AMBUJACEM,31-12-22
77,1253853505,729584780,1985645229,0.3674,AMBUJACEM,30-09-22
78,1253156361,729841868,1985645229,0.3676,AMBUJACEM,30-06-22
79,1253156361,730127387,1985645229,0.3677,AMBUJACEM,31-03-22
80,1253156361,729271029,1985645229,0.3673,AMBUJACEM,31-12-21
81,1253156361,727717194,1985645229,0.3665,AMBUJACEM,30-09-21
82,1253156361,727048967,1985645229,0.3662,AMBUJACEM,30-06-21
83,1253156361,726750006,1985645229,0.366,AMBUJACEM,31-03-21
84,1253156361,727346055,1985645229,0.3663,AMBUJACEM,31-12-20
85,1253156361,727522431,1985645229,0.3664,AMBUJACEM,30-09-20
86,1253156361,727400931,1985645229,0.3663,AMBUJACEM,30-06-20
87,1253156361,727241128,1985645229,0.3662,AMBUJACEM,31-03-20
88,1253156361,723654268,1985645229,0.3644,AMBUJACEM,31-12-19
89,1253156361,722671634,1985645229,0.3639,AMBUJACEM,30-09-19
90,1253156361,721877264,1985645229,0.3635,AMBUJACEM,30-06-19
91,1253156361,722017162,1985645229,0.3636,AMBUJACEM,31-03-19
92,1253156361,721639940,1985645229,0.3634,AMBUJACEM,31-12-18
93,1253156361,720850795,1985645229,0.363,AMBUJACEM,30-09-18
94,1253156361,718638288,1985645229,0.3619,AMBUJACEM,30-06-18
95,40287129,103497528,143784657,0.7198,APOLLOHOSP,30-09-25
96,42184368,101600289,143784657,0.7066,APOLLOHOSP,30-06-25
97,42183041,101601616,143784657,0.7066,APOLLOHOSP,31-03-25
98,42177612,101607045,143784657,0.7067,APOLLOHOSP,31-12-24
99,42177612,101607045,143784657,0.7067,APOLLOHOSP,30-09-24
100,42177612,101607045,143784657,0.7067,APOLLOHOSP,30-06-24
101,42177612,101607045,143784657,0.7067,APOLLOHOSP,31-03-24
102,42177612,101607045,143784657,0.7067,APOLLOHOSP,31-12-23
103,42177612,101607045,143784657,0.7067,APOLLOHOSP,30-09-23
104,42177612,101607045,143784657,0.7067,APOLLOHOSP,30-06-23
105,42177612,101607045,143784657,0.7067,APOLLOHOSP,31-03-23
106,42177612,101607045,143784657,0.7067,APOLLOHOSP,31-12-22
107,42177612,101607045,143784657,0.7067,APOLLOHOSP,30-09-22
108,42177612,101607045,143784657,0.7067,APOLLOHOSP,30-06-22
109,42175002,101609655,143784657,0.7067,APOLLOHOSP,31-03-22
110,42175002,101609655,143784657,0.7067,APOLLOHOSP,31-12-21
111,42875002,100909655,143784657,0.7018,APOLLOHOSP,30-09-21
112,42875002,100909655,143784657,0.7018,APOLLOHOSP,30-06-21
113,42875002,100909655,143784657,0.7018,APOLLOHOSP,31-03-21
114,42875002,100909655,143784657,0.7018,APOLLOHOSP,23-01-21
115,42875002,96250157,139125159,0.6918,APOLLOHOSP,31-12-20
116,42875001,96250158,139125159,0.6918,APOLLOHOSP,30-09-20
117,42875001,96250158,139125159,0.6918,APOLLOHOSP,30-06-20
118,42868813,96256346,139125159,0.6919,APOLLOHOSP,31-03-20
119,42852663,96272496,139125159,0.692,APOLLOHOSP,31-12-19
120,42852663,96272496,139125159,0.692,APOLLOHOSP,30-09-19
121,47852663,91272496,139125159,0.656,APOLLOHOSP,30-06-19
122,47852663,91272496,139125159,0.656,APOLLOHOSP,31-03-19
123,47852663,91272496,139125159,0.656,APOLLOHOSP,31-12-18
124,47852663,91272496,139125159,0.656,APOLLOHOSP,30-09-18
125,47852663,91272496,139125159,0.656,APOLLOHOSP,30-06-18
126,504785198,453793019,959197790,0.4731,ASIANPAINT,30-09-25
127,504785198,453778237,959197790,0.4731,ASIANPAINT,30-06-25
128,504785198,453957926,959197790,0.4733,ASIANPAINT,31-03-25
129,504785198,453932284,959197790,0.4732,ASIANPAINT,31-12-24
130,504785198,453917019,959197790,0.4732,ASIANPAINT,30-09-24
131,504785198,453883401,959197790,0.4732,ASIANPAINT,30-06-24
132,504785198,454057017,959197790,0.4734,ASIANPAINT,31-03-24
133,504785198,454057017,959197790,0.4734,ASIANPAINT,31-12-23
134,504785198,454057017,959197790,0.4734,ASIANPAINT,30-09-23
135,504785184,454056157,959197790,0.4734,ASIANPAINT,30-06-23
136,504785184,454054947,959197790,0.4734,ASIANPAINT,31-03-23
137,504785184,454054947,959197790,0.4734,ASIANPAINT,31-12-22
138,504785184,454054947,959197790,0.4734,ASIANPAINT,30-09-22
139,504785184,454054947,959197790,0.4734,ASIANPAINT,30-06-22
140,504785184,454189366,959197790,0.4735,ASIANPAINT,31-03-22
141,504785191,454189359,959197790,0.4735,ASIANPAINT,31-12-21
142,506384654,452589896,959197790,0.4718,ASIANPAINT,30-09-21
143,506384654,452813136,959197790,0.4721,ASIANPAINT,30-06-21
144,506384654,452813136,959197790,0.4721,ASIANPAINT,31-03-21
145,506384654,452813136,959197790,0.4721,ASIANPAINT,31-12-20
146,506384654,452813136,959197790,0.4721,ASIANPAINT,30-09-20
147,506384654,452813136,959197790,0.4721,ASIANPAINT,30-06-20
148,506384654,452813136,959197790,0.4721,ASIANPAINT,31-03-20
149,506384577,452813213,959197790,0.4721,ASIANPAINT,31-12-19
150,506384577,452813213,959197790,0.4721,ASIANPAINT,30-09-19
151,506384577,452813213,959197790,0.4721,ASIANPAINT,30-06-19
152,506384482,452813308,959197790,0.4721,ASIANPAINT,31-03-19
153,506384482,452813308,959197790,0.4721,ASIANPAINT,31-12-18
154,506384482,452813308,959197790,0.4721,ASIANPAINT,30-09-18
155,506384482,452813308,959197790,0.4721,ASIANPAINT,30-06-18
156,506384482,452813308,959197790,0.4721,ASIANPAINT,31-03-18
157,300948721,279852902,580801623,0.4818,AUROPHARMA,30-09-25
158,300948721,279852902,580801623,0.4818,AUROPHARMA,30-06-25
159,300948721,279852902,580801623,0.4818,AUROPHARMA,31-03-25
160,300948721,279852902,580801623,0.4818,AUROPHARMA,31-12-24
161,300948721,279852902,580801623,0.4818,AUROPHARMA,30-09-24
162,303515471,282423138,585938609,0.482,AUROPHARMA,30-06-24
163,303715471,282223138,585938609,0.4817,AUROPHARMA,31-03-24
164,303715471,282223138,585938609,0.4817,AUROPHARMA,31-12-23
165,303715471,282223138,585938609,0.4817,AUROPHARMA,30-09-23
166,303715471,282223138,585938609,0.4817,AUROPHARMA,30-06-23
167,303715471,282223138,585938609,0.4817,AUROPHARMA,31-03-23
168,303715471,282223138,585938609,0.4817,AUROPHARMA,31-12-22
169,303715471,282223138,585938609,0.4817,AUROPHARMA,30-09-22
170,303715471,282223138,585938609,0.4817,AUROPHARMA,30-06-22
171,303715471,282223138,585938609,0.4817,AUROPHARMA,31-03-22
172,303715471,282223138,585938609,0.4817,AUROPHARMA,31-12-21
173,303715471,282223138,585938609,0.4817,AUROPHARMA,30-09-21
174,303715471,282223138,585938609,0.4817,AUROPHARMA,30-06-21
175,304315471,281623138,585938609,0.4806,AUROPHARMA,31-03-21
176,304315471,281623138,585938609,0.4806,AUROPHARMA,31-12-20
177,304765471,281173138,585938609,0.4799,AUROPHARMA,30-09-20
178,304765471,281173138,585938609,0.4799,AUROPHARMA,30-06-20
179,304765471,281173138,585938609,0.4799,AUROPHARMA,31-03-20
180,303925934,282012675,585938609,0.4813,AUROPHARMA,31-12-19
181,303925934,282012675,585938609,0.4813,AUROPHARMA,30-09-19
182,303925934,281989675,585915609,0.4813,AUROPHARMA,30-06-19
183,303925934,281989675,585915609,0.4813,AUROPHARMA,31-03-19
184,303925934,281981675,585907609,0.4813,AUROPHARMA,31-12-18
185,303925934,281981675,585907609,0.4813,AUROPHARMA,30-09-18
186,303925934,281981675,585907609,0.4813,AUROPHARMA,30-06-18
187,244860645,2755706551,3102879031,0.8881,AXISBANK,30-09-25
188,244860645,2753702705,3101188425,0.888,AXISBANK,30-06-25
189,244860645,2749429651,3097369066,0.8877,AXISBANK,31-03-25
190,244860645,2730853086,3095171531,0.8823,AXISBANK,31-12-24
191,244860645,2707851123,3093254378,0.8754,AXISBANK,30-09-24
192,244860645,2703216281,3090246466,0.8748,AXISBANK,30-06-24
193,244860645,2734287465,3086570375,0.8859,AXISBANK,31-03-24
194,244860645,2739848112,3084019057,0.8884,AXISBANK,31-12-23
195,244860645,2733740704,3081760824,0.8871,AXISBANK,30-09-23
196,244860645,2745221919,3079738904,0.8914,AXISBANK,30-06-23
197,244860645,2757633202,3076852012,0.8963,AXISBANK,31-03-23
198,245471310,2750163023,3074956918,0.8944,AXISBANK,31-12-22
199,291405548,2717221243,3072321111,0.8844,AXISBANK,30-09-22
200,291405548,2712278595,3071432148,0.8831,AXISBANK,30-06-22
201,291405548,2713237373,3069747836,0.8839,AXISBANK,31-03-22
202,291356548,2709116915,3067661758,0.8831,AXISBANK,31-12-21
203,348013811,2642957722,3066645378,0.8618,AXISBANK,30-09-21
204,349243811,2637841611,3065268517,0.8606,AXISBANK,30-06-21
205,405883973,2582125054,3063748652,0.8428,AXISBANK,31-03-21
206,416039574,2570450438,3061465082,0.8396,AXISBANK,31-12-20
207,442776936,2553330108,3060161084,0.8344,AXISBANK,30-09-20
208,442776936,2558366503,3060066034,0.836,AXISBANK,11-08-20
209,442776936,2326077473,2822022959,0.8243,AXISBANK,30-06-20
210,442776936,2324032853,2821677934,0.8236,AXISBANK,31-03-20
211,442987764,2311711134,2819752963,0.8198,AXISBANK,31-12-19
212,457170476,2297360862,2819155633,0.8149,AXISBANK,30-09-19
213,457170476,2295314247,2819004453,0.8142,AXISBANK,26-09-19
214,462031910,2090866616,2619519511,0.7982,AXISBANK,30-06-19
215,467996778,2035309808,2571644871,0.7914,AXISBANK,31-03-19
216,592260605,1906085761,2569909771,0.7417,AXISBANK,31-12-18
217,642541791,1836900555,2569115216,0.715,AXISBANK,30-09-18
218,645666257,1816095604,2567940686,0.7072,AXISBANK,30-06-18
219,153708367,125513945,279257608,0.4495,BAJAJ,30-09-25
220,153708367,125477315,279257608,0.4493,BAJAJ,30-06-25
221,153708367,125430000,279257608,0.4492,BAJAJ,31-03-25
222,153708367,125549241,279257608,0.4496,BAJAJ,31-12-24
223,153708367,125549241,279257608,0.4496,BAJAJ,30-09-24
224,153708367,125471389,279179756,0.4494,BAJAJ,30-06-24
225,153708367,125471389,279179756,0.4494,BAJAJ,31-03-24
226,155580309,127599394,283179756,0.4506,BAJAJ,31-12-23
227,155580309,127376996,282957358,0.4502,BAJAJ,30-09-23
228,155580309,127368055,282957358,0.4501,BAJAJ,30-06-23
229,155580309,127373338,282957358,0.4502,BAJAJ,31-03-23
230,155580309,127377049,282957358,0.4502,BAJAJ,31-12-22
231,155580309,128099452,283679761,0.4516,BAJAJ,30-09-22
232,155580309,133786711,289367020,0.4623,BAJAJ,30-06-22
233,155489529,133877491,289367020,0.4627,BAJAJ,31-12-21
234,155389904,133977116,289367020,0.463,BAJAJ,30-09-21
235,155389904,133977116,289367020,0.463,BAJAJ,30-06-21
236,155389904,133977116,289367020,0.463,BAJAJ,31-03-21
237,155389904,133977116,289367020,0.463,BAJAJ,31-12-20
238,155374904,133992116,289367020,0.4631,BAJAJ,30-09-20
239,155358104,134008916,289367020,0.4631,BAJAJ,30-06-20
240,155263104,134103916,289367020,0.4634,BAJAJ,31-03-20
241,154879104,134487916,289367020,0.4648,BAJAJ,31-12-19
242,154879104,134487916,289367020,0.4648,BAJAJ,30-09-19
243,154879104,134487916,289367020,0.4648,BAJAJ,30-06-19
244,148105032,141261988,289367020,0.4882,BAJAJ,31-03-19
245,142657982,146709038,289367020,0.507,BAJAJ,31-12-18
246,142657982,146709038,289367020,0.507,BAJAJ,30-09-18
247,142657982,146709038,289367020,0.507,BAJAJ,30-06-18
248,142657982,146709038,289367020,0.507,BAJAJ,31-03-18
249,939649700,657016232,1597813220,0.4112,BAJAJFINSV,30-09-25
250,939649700,656597127,1597813220,0.4109,BAJAJFINSV,30-06-25
251,968249700,626738895,1596662097,0.3925,BAJAJFINSV,31-03-25
252,968249700,626570172,1596662097,0.3924,BAJAJFINSV,31-12-24
253,968249700,626243141,1596662097,0.3922,BAJAJFINSV,30-09-24
254,968249700,625414027,1596662097,0.3917,BAJAJFINSV,30-06-24
255,968249700,624314674,1595488813,0.3913,BAJAJFINSV,31-03-24
256,968250288,623847671,1595488813,0.391,BAJAJFINSV,31-12-23
257,968250288,623294534,1595488813,0.3907,BAJAJFINSV,30-09-23
258,968250288,622936444,1592815460,0.3911,BAJAJFINSV,30-06-23
259,968065288,622709171,1592815460,0.3909,BAJAJFINSV,31-03-23
260,967575288,622958033,1592815460,0.3911,BAJAJFINSV,31-12-22
261,967575423,622684022,1592815460,0.3909,BAJAJFINSV,30-09-22
262,96757514,62237518,159137444,0.3911,BAJAJFINSV,30-06-22
263,96701408,62264544,159137444,0.3913,BAJAJFINSV,31-03-22
264,96757398,62186097,159137444,0.3908,BAJAJFINSV,31-12-21
265,96757398,62169794,159137444,0.3907,BAJAJFINSV,30-09-21
266,96757400,62131912,159137444,0.3904,BAJAJFINSV,30-06-21
267,96757348,62100006,159137444,0.3902,BAJAJFINSV,31-03-21
268,96757348,62096232,159137444,0.3902,BAJAJFINSV,31-12-20
269,96757348,62080576,159137444,0.3901,BAJAJFINSV,30-09-20
270,96757348,62080392,159137290,0.3901,BAJAJFINSV,30-06-20
271,96757348,62080373,159137290,0.3901,BAJAJFINSV,31-03-20
272,96611948,62319949,159137290,0.3916,BAJAJFINSV,31-12-19
273,96611948,62319817,159137290,0.3916,BAJAJFINSV,30-09-19
274,96611948,62483563,159136111,0.3926,BAJAJFINSV,30-06-19
275,92886208,66209303,159136111,0.4161,BAJAJFINSV,31-03-19
276,92855208,66240303,159136111,0.4162,BAJAJFINSV,31-12-18
277,92855208,66250340,159136111,0.4163,BAJAJFINSV,30-09-18
278,92855208,66279889,159135097,0.4165,BAJAJFINSV,30-06-18
279,3401475450,2813659513,6222481865,0.4522,BAJFINANCE,30-09-25
280,3401225450,2811163450,6214286520,0.4524,BAJFINANCE,30-06-25
281,3401225450,2810714060,6214286520,0.4523,BAJFINANCE,24-06-25
282,340122545,280689819,621428652,0.4517,BAJFINANCE,31-03-25
283,338572545,280207216,618996470,0.4527,BAJFINANCE,31-12-24
284,338572545,280092275,618996320,0.4525,BAJFINANCE,30-09-24
285,338572545,279917000,618996320,0.4522,BAJFINANCE,30-06-24
286,338524545,279483446,618996320,0.4515,BAJFINANCE,31-03-24
287,338524623,279175627,618023077,0.4517,BAJFINANCE,31-12-23
288,338524623,278966440,618023077,0.4514,BAJFINANCE,09-11-23
289,338524623,266808285,605918538,0.4403,BAJFINANCE,30-09-23
290,338524623,266607569,605918538,0.44,BAJFINANCE,30-06-23
291,338524623,265896209,605429233,0.4392,BAJFINANCE,31-03-23
292,338501123,265813547,605429233,0.439,BAJFINANCE,31-12-22
293,338216151,265892513,605429233,0.4392,BAJFINANCE,30-09-22
294,338216108,265442503,605429233,0.4384,BAJFINANCE,30-06-22
295,338216149,265063692,605429233,0.4378,BAJFINANCE,31-03-22
296,338216134,264781572,603594345,0.4387,BAJFINANCE,31-12-21
297,338169110,264148859,603594345,0.4376,BAJFINANCE,30-06-21
298,338169045,263396580,602587339,0.4371,BAJFINANCE,31-03-21
299,338169045,262731068,602587339,0.436,BAJFINANCE,31-12-20
300,338169045,262503820,602587339,0.4356,BAJFINANCE,30-09-20
301,338169045,261777446,601689069,0.4351,BAJFINANCE,31-03-20
302,337852745,262017121,601689069,0.4355,BAJFINANCE,31-12-19
303,337852745,261699199,601689069,0.4349,BAJFINANCE,07-11-19
304,337852745,239893554,579894198,0.4137,BAJFINANCE,30-09-19
305,337852745,239593383,579894198,0.4132,BAJFINANCE,30-06-19
306,318878085,257996580,577968388,0.4464,BAJFINANCE,31-03-19
307,318778085,257793854,577968388,0.446,BAJFINANCE,31-12-18
308,318778085,257667529,577968388,0.4458,BAJFINANCE,30-09-18
309,318678085,257113593,577968388,0.4449,BAJFINANCE,30-06-18
310,318678085,256456103,577968388,0.4437,BAJFINANCE,31-03-18
311,3737921934,3571856895,7309778829,0.4886,BEL,30-09-25
312,3737921934,3571856895,7309778829,0.4886,BEL,30-06-25
313,3737921934,3571856895,7309778829,0.4886,BEL,31-03-25
314,3737921934,3571856895,7309778829,0.4886,BEL,31-12-24
315,3737921934,3571856895,7309778829,0.4886,BEL,30-09-24
316,3737921934,3571856895,7309778829,0.4886,BEL,30-06-24
317,3737921934,3571856895,7309778829,0.4886,BEL,31-03-24
318,3737921934,3571856895,7309778829,0.4886,BEL,31-12-23
319,3737921934,3571856895,7309778829,0.4886,BEL,30-09-23
320,3737921934,3571856895,7309778829,0.4886,BEL,30-06-23
321,3737921934,3571856895,7309778829,0.4886,BEL,31-03-23
322,3737921934,3571856895,7309778829,0.4886,BEL,31-12-22
323,3737921934,3571856895,7309778829,0.4886,BEL,30-09-22
324,3737921934,3571856895,7309778829,0.4886,BEL,19-09-22
325,1245973978,1190618965,2436592943,0.4886,BEL,30-06-22
326,1245973978,1190618965,2436592943,0.4886,BEL,31-03-22
327,1245973978,1190618965,2436592943,0.4886,BEL,31-12-21
328,1245973978,1190618965,2436592943,0.4886,BEL,30-09-21
329,1245973978,1190618965,2436592943,0.4886,BEL,30-06-21
330,1245973978,1190618965,2436592943,0.4886,BEL,31-03-21
331,1245973978,1190618965,2436592943,0.4886,BEL,31-12-20
332,1245973978,1190618965,2436592943,0.4886,BEL,30-09-20
333,1245973978,1190618965,2436592943,0.4886,BEL,30-06-20
334,1245973978,1190618965,2436592943,0.4886,BEL,31-03-20
335,1346744254,1089848689,2436592943,0.4473,BEL,31-12-19
336,1362894613,1073698330,2436592943,0.4407,BEL,30-09-19
337,1433326432,1003266511,2436592943,0.4117,BEL,30-06-19
338,1433326432,1003266511,2436592943,0.4117,BEL,31-03-19
339,1509060257,927532686,2436592943,0.3807,BEL,31-12-18
340,1610405133,826187810,2436592943,0.3391,BEL,30-09-18
341,1608441212,828151731,2436592943,0.3399,BEL,30-06-18
342,3063629531,3027450218,6094392981,0.4968,BHARTIARTL,30-09-25
343,3123629531,2966523270,6094392981,0.4868,BHARTIARTL,30-06-25
344,3194629531,2895426773,6094392981,0.4751,BHARTIARTL,31-03-25
