,promoter_shares,public_shares,total_shares,free_float_factor,ticker,report_date
0,20805224,8688416,29493640,0.2946,BOSCHLTD,2025-09-30
1,20805224,8688416,29493640,0.2946,BOSCHLTD,2025-06-30
2,20805224,8688416,29493640,0.2946,BOSCHLTD,2025-03-31
3,20805224,8688416,29493640,0.2946,BOSCHLTD,2024-12-31
4,20805224,8688416,29493640,0.2946,BOSCHLTD,2024-09-30
5,20805224,8688416,29493640,0.2946,BOSCHLTD,2024-06-30
6,20805224,8688416,29493640,0.2946,BOSCHLTD,2024-03-31
7,20805224,8688416,29493640,0.2946,BOSCHLTD,2023-12-31
8,20805224,8688416,29493640,0.2946,BOSCHLTD,2023-09-30
9,20805224,8688416,29493640,0.2946,BOSCHLTD,2023-06-30
10,20805224,8688416,29493640,0.2946,BOSCHLTD,2023-03-31
11,20805224,8688416,29493640,0.2946,BOSCHLTD,2022-12-31
12,20805224,8688416,29493640,0.2946,BOSCHLTD,2022-09-30
13,20805224,8688416,29493640,0.2946,BOSCHLTD,2022-06-30
14,20805224,8688416,29493640,0.2946,BOSCHLTD,2022-03-31
15,20805224,8688416,29493640,0.2946,BOSCHLTD,2021-12-31
16,20805224,8688416,29493640,0.2946,BOSCHLTD,2021-09-30
17,20805224,8688416,29493640,0.2946,BOSCHLTD,2021-06-30
18,20805224,8688416,29493640,0.2946,BOSCHLTD,2021-03-31
19,20805224,8688416,29493640,0.2946,BOSCHLTD,2020-12-31
20,20805224,8688416,29493640,0.2946,BOSCHLTD,2020-09-30
21,20805224,8688416,29493640,0.2946,BOSCHLTD,2020-06-30
22,20805224,8688416,29493640,0.2946,BOSCHLTD,2020-03-31
23,20805224,8688416,29493640,0.2946,BOSCHLTD,2019-12-31
24,20805224,8688416,29493640,0.2946,BOSCHLTD,2019-09-30
25,20805224,8688416,29493640,0.2946,BOSCHLTD,2019-06-30
26,20805224,8688416,29493640,0.2946,BOSCHLTD,2019-03-31
27,20805224,8688416,29493640,0.2946,BOSCHLTD,2019-03-01
28,21512705,9008035,30520740,0.2951,BOSCHLTD,2018-12-31
29,21512705,9008035,30520740,0.2951,BOSCHLTD,2018-09-30
30,21512705,9008035,30520740,0.2951,BOSCHLTD,2018-06-30
31,21512705,9008035,30520740,0.2951,BOSCHLTD,2018-03-31
32,2298367184,2040138304,4338505488,0.4702,BPCL,2025-09-30
33,2298367184,2040138304,4338505488,0.4702,BPCL,2025-06-30
34,2298367184,2040138304,4338505488,0.4702,BPCL,2025-03-31
35,2298367184,2040138304,4338505488,0.4702,BPCL,2024-12-31
36,2298367184,2040138304,4338505488,0.4702,BPCL,2024-09-30
37,2298367184,2040138304,4338505488,0.4702,BPCL,2024-06-30
38,2298367184,2040138304,4338505488,0.4702,BPCL,2024-06-24
39,1149183592,1020069152,2169252744,0.4702,BPCL,2024-03-31
40,1149183592,1013232204,2169252744,0.4671,BPCL,2023-12-31
41,1149183592,1013232204,2169252744,0.4671,BPCL,2023-09-30
42,1149183592,1013232204,2169252744,0.4671,BPCL,2023-06-30
43,1149183592,1013232204,2169252744,0.4671,BPCL,2023-03-31
44,1149183592,1013232204,2169252744,0.4671,BPCL,2022-12-31
45,1149183592,1020069152,2169252744,0.4702,BPCL,2022-09-30
46,1149183592,1013232204,2169252744,0.4671,BPCL,2022-06-30
47,1149183592,1013232204,2169252744,0.4671,BPCL,2022-03-31
48,1149183592,1013232204,2169252744,0.4671,BPCL,2021-12-31
49,1149183592,1013232204,2169252744,0.4671,BPCL,2021-09-30
50,1149183592,1013183979,2169252744,0.4671,BPCL,2021-06-30
51,1149183592,976690127,2169252744,0.4502,BPCL,2021-03-31
52,1149183592,976690127,2169252744,0.4502,BPCL,2020-12-31
53,1149183592,1020069152,2169252744,0.4702,BPCL,2020-09-30
54,1149183592,1020069152,2169252744,0.4702,BPCL,2020-06-30
55,1149183592,1020069152,2169252744,0.4702,BPCL,2020-03-31
56,1149183592,1020069152,2169252744,0.4702,BPCL,2019-12-31
57,1156095962,1013156782,2169252744,0.4671,BPCL,2019-09-30
58,1156095962,1013156782,2169252744,0.4671,BPCL,2019-06-30
59,1156095962,1013156782,2169252744,0.4671,BPCL,2019-03-31
60,1169945869,999306875,2169252744,0.4607,BPCL,2018-12-31
61,1169945869,999306875,2169252744,0.4607,BPCL,2018-09-30
62,1169002765,1000249979,2169252744,0.4611,BPCL,2018-06-30
63,1178095019,991157725,2169252744,0.4569,BPCL,2018-03-31
64,121752892,119115404,240868296,0.4945,BRITANNIA,2025-09-30
65,121752892,119115404,240868296,0.4945,BRITANNIA,2025-06-30
66,121752892,119115404,240868296,0.4945,BRITANNIA,2025-03-31
67,121752892,119115404,240868296,0.4945,BRITANNIA,2024-12-31
68,121752892,119115404,240868296,0.4945,BRITANNIA,2024-09-30
69,121752892,119115404,240868296,0.4945,BRITANNIA,2024-06-30
70,121752892,119115404,240868296,0.4945,BRITANNIA,2024-03-31
71,121752892,119115404,240868296,0.4945,BRITANNIA,2023-12-31
72,121752892,119115404,240868296,0.4945,BRITANNIA,2023-09-30
73,121752892,119115404,240868296,0.4945,BRITANNIA,2023-06-30
74,121752892,119115404,240868296,0.4945,BRITANNIA,2023-03-31
75,121752892,119115404,240868296,0.4945,BRITANNIA,2022-12-31
76,121752892,119115404,240868296,0.4945,BRITANNIA,2022-09-30
77,121752892,119115404,240868296,0.4945,BRITANNIA,2022-06-30
78,121752892,119115404,240868296,0.4945,BRITANNIA,2022-03-31
79,121752892,119115404,240868296,0.4945,BRITANNIA,2021-12-31
80,121752892,119115404,240868296,0.4945,BRITANNIA,2021-09-30
81,121752892,119115404,240868296,0.4945,BRITANNIA,2021-06-30
82,121752892,119115404,240868296,0.4945,BRITANNIA,2021-03-31
83,121752892,119115404,240868296,0.4945,BRITANNIA,2020-12-31
84,121752892,118972738,240725630,0.4942,BRITANNIA,2020-09-30
85,121752892,118798738,240551630,0.4939,BRITANNIA,2020-06-30
86,121749742,118718554,240468296,0.4937,BRITANNIA,2020-03-31
87,121748992,118719304,240468296,0.4937,BRITANNIA,2019-12-31
88,121745792,118572502,240318294,0.4934,BRITANNIA,2019-09-30
89,121745792,118572502,240318294,0.4934,BRITANNIA,2019-06-30
90,121745792,118572502,240318294,0.4934,BRITANNIA,2019-03-31
91,121745792,118572502,240318294,0.4934,BRITANNIA,2018-12-31
92,60872896,59286251,120159147,0.4934,BRITANNIA,2018-09-30
93,60872896,59186252,120059148,0.493,BRITANNIA,2018-06-30
94,60872896,59186252,120059148,0.493,BRITANNIA,2018-03-31
95,0,9072885639,9650350647,0.9402,ETERNAL,2025-03-31
96,0,9064966438,9650350647,0.9393,ETERNAL,2024-12-31
97,0,9064961078,9650350647,0.9393,ETERNAL,2024-12-02
98,0,9064961078,9172815802,0.9882,ETERNAL,2024-11-29
99,0,8721763314,8834375172,0.9873,ETERNAL,2024-09-30
100,0,8698831995,8826985307,0.9855,ETERNAL,2024-06-30
101,0,8680255038,8819783744,0.9842,ETERNAL,2024-03-31
102,0,8566550026,8710915663,0.9834,ETERNAL,2023-12-31
103,0,8448236050,8604446215,0.9818,ETERNAL,2023-09-30
104,0,8399493036,8579187036,0.9791,ETERNAL,2023-06-30
105,0,8363975413,8553509770,0.9778,ETERNAL,2023-03-31
106,0,8358112042,8551744588,0.9774,ETERNAL,2022-12-31
107,0,8336601290,8548736288,0.9752,ETERNAL,2022-09-30
108,0,8336221266,8548736288,0.9751,ETERNAL,2022-08-10
109,0,7652276693,7873654676,0.9719,ETERNAL,2022-06-30
110,0,7642940578,7871932776,0.9709,ETERNAL,2022-03-31
111,0,7637996179,7871390076,0.9703,ETERNAL,2021-12-31
112,0,7565347476,7845179676,0.9643,ETERNAL,2021-09-30
113,0,7565347476,7845179676,0.9643,ETERNAL,2021-07-22
114,69488181,130579679,200067860,0.6527,HEROMOTOCO,2025-09-30
115,69488181,130527527,200015708,0.6526,HEROMOTOCO,2025-06-30
116,69488181,130522655,200010836,0.6526,HEROMOTOCO,2025-03-31
117,69488181,130511350,199999531,0.6526,HEROMOTOCO,2024-12-31
118,69488181,130491937,199980118,0.6525,HEROMOTOCO,2024-09-30
119,69488181,130442929,199931110,0.6524,HEROMOTOCO,2024-06-30
