,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
ADANIENT,,,,,,,,,,,,,2.753632075171616,2.7443018690901466,2.746568729149243,2.7365807822937818,2.7372930659178656,2.8298750951514995,2.708405841436512,2.7086753691738497,2.7014059246255195,2.700214089910334,2.6581985628447704,2.6608147259894044,2.6439255453062454,2.6120305785602578,2.596273770285093,2.447323366572596,,,,
ADANIPORTS,,,,,,,,,,,,,5.08696629022996,,,,,5.243637295723089,,,,,,,5.009860457932289,,,,,,,
ASIANPAINT,3.160524694478152,2.85258854923782,2.76444770177894,2.7434740466893466,2.7272135751559934,2.6716957370049395,2.5518376574016965,2.531146949073263,2.492510052087014,2.4443595716045063,2.4231245139124096,2.414781734524777,2.401576273762647,2.3934389478807296,2.39541598663727,2.386705013080578,2.3873262302240055,2.38105900708615,2.2788546867832364,2.279081467621637,2.2729649515789423,2.2719621409642934,2.2366102452822765,2.238811486895452,,,,,,,,
AXISBANK,8.461278827652603,7.636879768046079,7.404296307309576,7.35039303945004,7.311760802400809,7.2962627557137765,7.500045956491953,7.440810627219796,7.3322318791488446,7.191466559904524,7.730575921323977,7.707242487390426,7.670812160039998,7.648613383794811,7.6583697756523135,7.633048962982056,7.640227704294626,7.624351574714701,7.299196720527712,7.306185855107886,7.291068492214887,7.294689653051501,7.1858983666632,7.198241449884992,7.15846862912688,7.080535374736505,7.044673078370535,6.562997822645657,6.512252241493133,6.480106228007457,6.455100290279837,6.4449155916495835
BAJAJFINSV,,,,,,,,,,,,,,,,,,,3.784198643954128,3.784575229502179,3.774418323996649,3.7727530863708783,3.720282367820153,,,,,,3.356999472304853,3.3387198645031217,3.3240240683540083,3.3187795048532873
BAJFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.985098375915287,12.944992083715727,12.924567793276399
BHARTIARTL,13.17129987974689,11.887994208108251,11.520672434917765,11.433265966748857,11.365501412529758,14.291575116701777,13.65300633686706,13.542305575357796,14.176462549058565,13.902600671266784,13.781823625715033,13.73437302488604,13.750576282798036,13.70398483304908,13.715304657671293,14.641530754544265,14.645341686293639,14.606894647461612,14.149076694994548,14.153309645076643,14.14071415494627,14.148985077169275,13.984984343545598,14.044467657459691,14.025256870323544,13.938058270235171,13.859173941496307,12.909243441388124,12.813527708634147,12.734574137365753,12.678521304794145,12.658517445402365
BRITANNIA,,,,,,,,,,,0.6081208497988809,,,,,,,,,,,,,,,,,,,,,
COALINDIA,20.453205998982547,18.46040985847555,17.890009977357387,17.754279828231024,17.522013216265627,17.165317905460856,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,,,,,,,,,,,,0.6683175094411232,,,,,,,,,,,,,,,,,,,,
