,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,payout_per_s
1,ADANIENT,Adani Enterprises Limited,EQ,Dividend - Rs 1.30 Per Share,1,13-Jun-2025,13-Jun-2025,-,-,1.30
2,ADANIENT,Adani Enterprises Limited,EQ,Dividend - Rs 1.30 Per Share,1,14-Jun-2024,14-Jun-2024,-,-,1.30
3,ADANIENT,Adani Enterprises Limited,EQ,Dividend - Rs 1.20 Per Share,1,07-Jul-2023,07-Jul-2023,-,-,1.20
4,ADANIENT,Adani Enterprises Limited,EQ,Dividend - Re 1 Per Share,1,14-Jul-2022,15-Jul-2022,-,-,1
5,ADANIENT,Adani Enterprises Limited,EQ, Dividend - Re 1 Per Share,1,01-Jul-2021,02-Jul-2021,-,-,1
7,ADANIENT,Adani Enterprises Limited,EQ, Interim Dividend - Re 1 Per Share,1,23-Mar-2020,25-Mar-2020,-,-,1
8,ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend - Rs 0.40 Per Share,1,29-Jul-2019,-,31-Jul-2019,07-Aug-2019,0.40
10,ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend Re 0.40 Per Share,1,27-Jul-2018,-,31-Jul-2018,07-Aug-2018,0.40
12,ADANIENT,Adani Enterprises Limited,EQ, Annual General Meeting/Dividend - Re 0.40 Per Share,1,31-Jul-2017,-,02-Aug-2017,09-Aug-2017,0.40
14,ADANIENT,Adani Enterprises Limited,EQ, Interim Dividend - Re 0.40/- Per Share (Purpose Revised),1,22-Mar-2016,23-Mar-2016,-,-,0.40
15,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting/ Dividend - Rs 1.40/- Per Share,1,31-Jul-2015,-,04-Aug-2015,11-Aug-2015,1.40
17,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting/Dividend Rs 1.40/- Per Share,1,31-Jul-2014,-,02-Aug-2014,09-Aug-2014,1.40
18,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Rs.1.40 Per Share,1,30-Jul-2013,-,01-Aug-2013,08-Aug-2013,1.40
19,ADANIENT,Adani Enterprises Limited,EQ,Annual General Meeting And Dividend Re.1/- Per Share,1,02-Aug-2012,-,04-Aug-2012,09-Aug-2012,1
0,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 7 Per Share,2,13-Jun-2025,13-Jun-2025,-,-,7
1,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 6 Per Share,2,14-Jun-2024,14-Jun-2024,-,-,6
2,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 5 Per Share,2,28-Jul-2023,28-Jul-2023,-,-,5
3,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,Dividend - Rs 5 Per Share,2,14-Jul-2022,15-Jul-2022,-,-,5
4,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Dividend - Rs 5 Per Sh,2,24-Jun-2021,25-Jun-2021,-,-,5
6,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Interim Dividend - Rs 3.20 Per Share,2,16-Mar-2020,17-Mar-2020,-,-,3.20
7,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Annual General Meeting/Dividend - Rs 0.20 Per Share,2,26-Jul-2019,-,30-Jul-2019,06-Aug-2019,0.20
9,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Annual General Meeting/Dividend- Rs 2 Per Share,2,26-Jul-2018,-,30-Jul-2018,06-Aug-2018,2
10,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ, Annual General Meeting/Dividend - Rs 1.30 Per Share,2,31-Jul-2017,-,02-Aug-2017,09-Aug-2017,1.30
