,promoter_shares,public_shares,total_shares,free_float_factor,ticker,report_date
0,853770953,300409776,1154180729,0.2603,ADANIENT,2025-09-30
1,853770953,300409776,1154180729,0.2603,ADANIENT,2025-06-30
2,853770953,300409776,1154180729,0.2603,ADANIENT,2025-03-31
3,853770953,300409776,1154180729,0.2603,ADANIENT,2024-12-31
4,853770953,286230168,1140001121,0.2511,ADANIENT,2024-09-30
5,851770953,288230168,1140001121,0.2528,ADANIENT,2024-06-30
6,827750953,312250168,1140001121,0.2739,ADANIENT,2024-03-31
7,827750953,312250168,1140001121,0.2739,ADANIENT,2023-12-31
8,827750953,312250168,1140001121,0.2739,ADANIENT,2023-09-30
9,771248453,368752668,1140001121,0.3235,ADANIENT,2023-06-30
10,789248453,350752668,1140001121,0.3077,ADANIENT,2023-03-31
11,827949621,312051500,1140001121,0.2737,ADANIENT,2022-12-31
12,827949621,312051500,1140001121,0.2737,ADANIENT,2022-09-30
13,823963481,316037640,1140001121,0.2772,ADANIENT,2022-06-30
14,823963481,316037640,1140001121,0.2772,ADANIENT,2022-05-12
15,823963481,275846602,1099810083,0.2508,ADANIENT,2022-03-31
16,823963481,275846602,1099810083,0.2508,ADANIENT,2021-12-31
17,823963481,275846602,1099810083,0.2508,ADANIENT,2021-09-30
18,823963481,275846602,1099810083,0.2508,ADANIENT,2021-06-30
19,823963481,275846602,1099810083,0.2508,ADANIENT,2021-03-31
20,823963481,275846602,1099810083,0.2508,ADANIENT,2020-12-31
21,823963481,275846602,1099810083,0.2508,ADANIENT,2020-09-30
22,823963481,275846602,1099810083,0.2508,ADANIENT,2020-06-30
23,823963481,275846602,1099810083,0.2508,ADANIENT,2020-03-31
24,823963481,275846602,1099810083,0.2508,ADANIENT,2019-12-31
25,823963481,275846602,1099810083,0.2508,ADANIENT,2019-09-30
26,823963481,275846602,1099810083,0.2508,ADANIENT,2019-06-30
27,823963481,275846602,1099810083,0.2508,ADANIENT,2019-03-31
28,823963481,275846602,1099810083,0.2508,ADANIENT,2018-12-31
29,823963481,275846602,1099810083,0.2508,ADANIENT,2018-09-30
30,823963481,275846602,1099810083,0.2508,ADANIENT,2018-06-30
31,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2025-09-30
32,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2025-06-30
33,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2025-03-31
34,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2024-12-31
35,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2024-09-30
36,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2024-06-30
37,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2024-03-31
38,1423376085,736762860,2160138945,0.3411,ADANIPORTS,2023-12-31
39,1415608785,744530160,2160138945,0.3447,ADANIPORTS,2023-09-30
40,1358522067,801616878,2160138945,0.3711,ADANIPORTS,2023-06-30
41,1318314567,841824378,2160138945,0.3897,ADANIPORTS,2023-03-31
42,1406914567,753224378,2160138945,0.3487,ADANIPORTS,2022-12-31
43,1394555867,765583078,2160138945,0.3544,ADANIPORTS,2022-10-19
44,1394555867,717817363,2112373230,0.3398,ADANIPORTS,2022-09-30
45,1394555767,717817463,2112373230,0.3398,ADANIPORTS,2022-06-30
46,1384555767,727817463,2112373230,0.3445,ADANIPORTS,2022-03-31
47,1373949104,738424126,2112373230,0.3496,ADANIPORTS,2022-02-21
48,1303327635,738424126,2041751761,0.3617,ADANIPORTS,2021-12-31
49,1303327635,738424126,2041751761,0.3617,ADANIPORTS,2021-09-30
50,1302460635,739291126,2041751761,0.3621,ADANIPORTS,2021-06-30
51,1294991018,736760743,2031751761,0.3626,ADANIPORTS,2021-03-31
52,1294991018,736760743,2031751761,0.3626,ADANIPORTS,2020-12-31
53,1293306018,738445743,2031751761,0.3635,ADANIPORTS,2020-09-30
54,1275683942,756067819,2031751761,0.3721,ADANIPORTS,2020-03-31
55,1268999322,762752439,2031751761,0.3754,ADANIPORTS,2019-12-31
56,1268999322,762752439,2031751761,0.3754,ADANIPORTS,2019-09-30
57,1290229754,780722007,2070951761,0.377,ADANIPORTS,2019-06-30
58,1290229754,780722007,2070951761,0.377,ADANIPORTS,2019-03-31
59,1290229754,780722007,2070951761,0.377,ADANIPORTS,2018-12-31
60,1290229754,780722007,2070951761,0.377,ADANIPORTS,2018-09-30
61,1290229754,780722007,2070951761,0.377,ADANIPORTS,2018-06-30
62,1372471076,698480685,2070951761,0.3373,ADANIPORTS,2018-03-31
63,1672081052,798418494,2471823478,0.323,AMBUJACEM,2025-09-30
64,1663381052,798418494,2463123478,0.3241,AMBUJACEM,2025-06-30
65,1663381052,798418494,2463123478,0.3241,AMBUJACEM,2025-03-31
66,1663381052,798418494,2463123478,0.3241,AMBUJACEM,2024-12-31
67,1663381052,798402585,2463123478,0.3241,AMBUJACEM,2024-09-30
68,1731337052,730446585,2463123478,0.2966,AMBUJACEM,2024-06-30
69,1731337052,730446585,2463123478,0.2966,AMBUJACEM,2024-04-12
70,1465889561,730446585,2197675987,0.3324,AMBUJACEM,2024-03-31
71,1465889561,730446585,2197675987,0.3324,AMBUJACEM,2024-03-29
72,1253858803,730446585,1985645229,0.3679,AMBUJACEM,2023-12-31
73,1253858803,730446585,1985645229,0.3679,AMBUJACEM,2023-09-30
74,1253858803,730180639,1985645229,0.3677,AMBUJACEM,2023-06-30
75,1253858803,729777482,1985843229,0.3675,AMBUJACEM,2023-03-31
76,1253858763,729579522,1985645229,0.3674,AMBUJACEM,2022-12-31
77,1253853505,729584780,1985645229,0.3674,AMBUJACEM,2022-09-30
78,1253156361,729841868,1985645229,0.3676,AMBUJACEM,2022-06-30
79,1253156361,730127387,1985645229,0.3677,AMBUJACEM,2022-03-31
80,1253156361,729271029,1985645229,0.3673,AMBUJACEM,2021-12-31
81,1253156361,727717194,1985645229,0.3665,AMBUJACEM,2021-09-30
82,1253156361,727048967,1985645229,0.3662,AMBUJACEM,2021-06-30
83,1253156361,726750006,1985645229,0.366,AMBUJACEM,2021-03-31
84,1253156361,727346055,1985645229,0.3663,AMBUJACEM,2020-12-31
85,1253156361,727522431,1985645229,0.3664,AMBUJACEM,2020-09-30
86,1253156361,727400931,1985645229,0.3663,AMBUJACEM,2020-06-30
87,1253156361,727241128,1985645229,0.3662,AMBUJACEM,2020-03-31
88,1253156361,723654268,1985645229,0.3644,AMBUJACEM,2019-12-31
89,1253156361,722671634,1985645229,0.3639,AMBUJACEM,2019-09-30
