,SYMBOL,COMPANY NAME,SERIES,PURPOSE,FACE VALUE,EX-DATE,RECORD DATE,BOOK CLOSURE START DATE,BOOK CLOSURE END DATE,event_type,old_face_value,new_face_value
19,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,Face Value Split From Rs.10/- To Rs.5/-,5,02-Sep-10,03-Sep-10,-,-,split,10,5
9,AXISBANK,Axis Bank Limited,EQ,Face Value Split From Rs 10/- To Rs 2/- Per Share,2,28-Jul-14,30-Jul-14,-,-,split,10,2
3,BAJAJFINSV,Bajaj Finserv Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,1,13-Sep-22,14-Sep-22,-,-,split,5,1
1,BAJFINANCE,Bajaj Finance Limited,EQ,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,1,16-Jun-25,16-Jun-25,-,-,split,2,1
12,BAJFINANCE,Bajaj Finance Limited,EQ, Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,1,08-Sep-16,10-Sep-16,-,-,split,10,2
14,BRITANNIA,Britannia Industries Limited,EQ, Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,1,29-Nov-18,30-Nov-18,-,-,split,2,1
1,DRREDDY,Dr. Reddy's Laboratories Limited,EQ,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,1,28-Oct-24,28-Oct-24,-,-,split,5,1
5,EICHERMOT,Eicher Motors Limited,EQ, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,24-Aug-20,25-Aug-20,-,-,split,10,1
11,GRASIM,Grasim Industries Limited,EQ, Face Value Split From Rs 10 To Re 2,2,06-Oct-16,08-Oct-16,-,-,split,10,2
7,HDFCBANK,HDFC Bank Limited,EQ, Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share,1,19-Sep-19,20-Sep-19,-,-,split,2,1
17,HDFCBANK,HDFC Bank Limited,EQ,Face Value Split From Rs.10/- To Rs.2/-,1,14-Jul-11,16-Jul-11,-,-,split,10,2
10,ICICIBANK,ICICI Bank Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,04-Dec-14,05-Dec-14,-,-,split,10,2
15,KOTAKBANK,Kotak Mahindra Bank Limited,EQ,Face Value Split From Rs.10/- To Rs.5/-,5,13-Sep-10,14-Sep-10,-,-,split,10,5
6,NESTLEIND,Nestle India Limited,EQ,Face Value Split (Sub-Division) - From Rs10/- Per Share To Re 1/- Per Share,1,05-Jan-24,05-Jan-24,-,-,split,10,1
9,SBIN,State Bank of India,EQ,Face Value Split Rs.10/- To Re.1/- Per Share,1,20-Nov-14,21-Nov-14,-,-,split,10,1
3,SHRIRAMFIN,Shriram Finance Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,2,10-Jan-25,10-Jan-25,-,-,split,10,2
17,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,Face Value Split From Rs.10/- To Re.1/-,1,30-Jun-10,02-Jul-10,-,-,split,10,1
15,TATAPOWER,Tata Power Company Limited,EQ,Face Value Split From Rs.10/- To Re.1/-,1,26-Sep-11,27-Sep-11,-,-,split,10,1
3,TATASTEEL,Tata Steel Limited,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,1,28-Jul-22,29-Jul-22,-,-,split,10,1
19,TECHM,Tech Mahindra Limited,EQ,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,5,19-Mar-15,20-Mar-15,-,-,split,10,5
16,TITAN,Titan Company Limited,EQ,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,1,23-Jun-11,24-Jun-11,-,-,split,10,1
2,YESBANK,Yes Bank Limited,EQ, Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share ,2,21-Sep-17,22-Sep-17,-,-,split,10,2
