,2018-03-31,2018-06-30,2018-09-06,2018-09-30,2018-12-31,2019-02-14,2019-03-08,2019-03-23,2019-03-31,2019-05-28,2019-06-30,2019-07-03,2019-07-06,2019-09-04,2019-09-09,2019-09-26,2019-09-30,2019-10-16,2019-11-07,2019-11-23,2019-12-10,2019-12-12,2019-12-31,2020-01-15,2020-03-11,2020-03-31,2020-04-21,2020-05-30,2020-06-11,2020-06-30,2020-08-11,2020-08-15,2020-08-28,2020-09-04,2020-09-30,2020-12-31,2021-01-19,2021-01-23,2021-02-06,2021-02-18,2021-03-24,2021-03-31,2021-04-23,2021-05-14,2021-05-15,2021-06-30,2021-08-01,2021-08-03,2021-09-30,2021-10-30,2021-11-06,2021-12-08,2021-12-27,2021-12-31,2022-01-01,2022-02-21,2022-03-14,2022-03-31,2022-05-12,2022-06-30,2022-07-12,2022-08-10,2022-09-07,2022-09-19,2022-09-30,2022-10-19,2022-12-31,2023-03-18,2023-03-31,2023-06-30,2023-07-14,2023-08-10,2023-09-30,2023-10-07,2023-11-09,2023-11-22,2023-11-24,2023-12-31,2024-01-19,2024-01-21,2024-01-30,2024-02-08,2024-02-09,2024-03-29,2024-03-31,2024-04-12,2024-06-25,2024-06-30,2024-08-23,2024-09-10,2024-09-30,2024-11-01,2024-11-08,2024-12-10,2024-12-27,2024-12-31,2025-01-27,2025-03-31,2025-06-13,2025-06-24,2025-06-30,2025-07-21,2025-08-14,2025-08-28,2025-09-30
ADANIENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022996308843294382,0.021718706533548685,0.021499677597361082,,,,0.02344157193122525,0.023753504071378228,0.023054979572006695,0.023054979572006695,0.022793390641659406,0.024033907533256595,0.027074018286943953,0.031031477437839277,0.033439641286812496,0.03591448670232137,0.03932402556146187,0.048080403425745724,0.05213944894458517,0.0468115113882446,0.043420702898911326,0.04959902132587934,0.0259376962593501,0.023897120233314792,0.029742280690409788,0.028419218312847078,0.030931746222241426,0.02894416634176938,0.029522868258236634,0.02698916941999986,0.025921097260384898,0.026607926788121006,0.031103192249026888,0.03146518973310327,0.03146518973310327,0.033565555938727905,0.03377592912316922,0.0341666049136573,0.03350813018978787,0.03349070345955181,0.03349784533628471,0.031963812842031675,0.0314997858602036,0.02897808781973385,0.027943403919223675,0.028656383193291706,0.02645148148236489,0.02632369914191501,,,,,,,,,,,,
ADANIPORTS,0.024621840865101698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01972353726560641,0.021470729164109924,0.021177194385496534,0.022476036776346353,0.022298832572372605,0.022298832572372605,,,,,,,,,,,,,,,0.019006669729554657,0.020589050992870922,0.020374931533221674,0.02243847557822115,0.02453496179379363,,,,,,,,,,,,,,,,,,,,0.02664859591407403,0.026634736653962116,0.026580654303402382,0.02781193196709081,,,,,,,,,,,,,,,,,,
ASIANPAINT,0.03608326949796505,0.029805483413185334,0.027559862994502894,0.0280700094157362,0.030764188508917437,0.031460064484586735,0.030443491920559708,0.031353863792504634,0.03154485929480309,0.027189217867122115,0.026968129874842654,0.02672440413749582,0.0271081305904556,0.03266621156191606,0.03232997780528524,0.03551351454147559,0.03429138681601288,0.03433672857444467,0.03422733989447403,0.03190066767738001,0.03235926389721994,0.03286882825656779,0.03276502237316082,0.03313324079747982,0.03854883823422183,0.039611296706946006,0.039384066114952605,0.03632438002138605,0.03370768429449965,0.03413370680187852,0.03305581820250158,0.03358386684088555,0.035280179674531585,0.03599848760461597,0.03639267057556229,0.04148641107681931,0.03790327744585166,0.03738488420723796,0.0336737527619429,0.03464578138035259,0.03504114669362392,0.03611689016759807,0.036834667284078484,0.03981756211902956,0.03981756211902956,0.03981438783353268,0.03945698150660181,0.03933948702483094,0.03840904133173659,0.03720505712145763,0.03709417757736222,0.037045661391032235,0.039182147312702,0.03979187437185618,0.03979187437185618,0.038357628468776536,0.035771938105424526,0.0360965491682633,0.03880931740186224,0.03461249892126176,0.036957325168565335,0.03992719440656705,0.03960008045861503,0.038501702611863094,0.03809589233330629,0.035815176916341465,0.033399316560821235,0.03329219097083845,0.031722498351381107,0.03523204960298499,0.03451538737310199,0.033015815489879224,0.03189158113310975,0.032034311359561606,0.03158393510724222,0.03145045386668747,0.03154953111891659,0.03125420045209529,0.02874671467941869,0.02874671467941869,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,,0.032234595367164894,0.03582202154491213,0.035649729021457195,0.037212637769862486,0.041867240568714485,0.04327400414109571,0.043225383435368796,0.04410560724460932,0.043191677392728965,0.043845338591477746,0.04351987182275378,0.04392162356206397,0.037615515113469014,0.03848640391348438,0.04124876660264729,0.039178122788333596,0.03963115647021432,0.040457307349020956,0.040790727269705576,0.0397324315763399,0.039846767962913344,0.04069267543516472,0.03945769198547159,0.03727645412997145,0.02650038747604244,0.028235788479926534,0.024439476955412483,0.025454437894681454,0.024200575638434273,0.026400047318897703,0.025906160542511585,0.029268937717235512,0.026721608688152505,0.024820724551767592,0.02971783796576786,0.03058636074067682,0.029616020590027072,0.03254020594135967,0.034774725962478735,0.032331728072131714,0.03170877611342986,0.0313692112616854,0.03139969808949505,0.03139969808949505,0.03181361048168262,0.030213774125405216,0.03067509495213769,0.02901091947567939,0.028469874481877135,0.0282646287513244,0.026560542234895183,0.02573021819583182,0.02552583596502864,0.02552583596502864,0.0297606003377033,0.02741753172726541,0.02854873202316001,0.02654260610604239,0.026186518795051964,0.02765858846276954,0.0276937349074039,0.028169697606997023,0.029670353857071084,0.026766657188631904,0.029631128348884258,0.03237694347788664,0.031220364891006585,0.03163279014492967,0.03322420392315897,0.030923642147371793,0.030766399441834583,0.03360380980375773,0.032236341254328074,0.033665610859938785,0.0321907672382496,0.03259588368063595,0.032556052950744076,0.03259754921214906,0.03259754921214906,0.03096523310776374,0.02987235703207241,0.03022550714697764,0.02969171944597061,0.029700827843424243,0.030330396599585502,0.034699147308306276,0.03400431898407082,0.029771568438486898,0.03011223949510979,0.030553265010941102,0.028459729608263602,0.028309784322060938,0.027511689008665716,0.02658479653593847,0.026454967531095417,,0.02788060545489144,0.02944735238146338,0.028954892671830268,0.02791352947243775,0.026102629006058514,0.02604938298943427,0.02415205775822832,0.025952377481250885
BAJAJFINSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031765307009699366,0.03144776070773642,0.027801006791922007,0.02513963793726738,0.02415801512149125,0.02658975780871392,0.026975214691713975,0.025726933979924732,0.025847675379177013,0.02725542597874716,0.026986591016235326,0.02711511212256977,0.02706193521382614,,,,,,,,,,,,,,,,,,,,,0.026179645550592053,0.02531646627921589,0.024557174665862436,0.024657220416408655,0.025120406294478204,,,0.023695338112464572
BAJFINANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043597939771044196,0.043681148832168,0.04511563710637829,0.04209573411043424,0.04034299037001865,0.04594148603198431
BHARTIARTL,0.04822777570218665,0.03381576777268995,0.029317554212813016,0.02759842482915415,0.02629827896485836,0.025402465575185638,0.0255347318213131,0.02653822497022261,0.02611398602687108,0.036162584762053175,0.036141745189457244,0.0366578394299836,0.038216036271429145,0.03862443615931217,0.03927615404673562,0.03622628059431538,0.03751149533442957,0.03934428328145905,0.03657585113321366,0.04187916566313078,0.044341229322029205,0.043251383394192294,0.04393956047906817,0.04697585192905343,0.05644160373668702,0.058506823558842874,0.0637582677078015,0.06658123634473714,0.06447850093009942,0.06322326450664084,0.05683124309356354,0.0549823408250466,0.05265308351300202,0.05374234286466075,0.043055676107878534,0.04270282191983713,0.04738460798164045,0.046365849200080266,0.04596334043073851,0.04611332008146989,0.04192285365097793,0.04138187409436062,0.04296603607140882,0.045199569399641565,0.045199569399641565,0.03930246104039593,0.04209898731761488,0.04237797889508935,0.04665174590103006,0.047093739360694345,0.050499775015284784,0.05228430960221144,0.04963587191469189,0.0493418753220502,0.0493418753220502,0.051376377351717926,0.05187690032106448,0.05427851548592276,0.05524497479345341,0.05396206759418193,0.051954521478595084,0.0513511224959812,0.05380378227596774,0.05574982227542832,0.05660573260504857,0.054223209118956804,0.054145383351844024,0.05469046047717638,0.053525309078573946,0.0573486594945698,0.055558847139186344,0.05555096104897291,0.05844063304915759,0.05804284610618644,0.059777530180039874,0.06086925483841129,0.06121355029767335,0.059480502105447086,0.06408230866160652,0.06408230866160652,0.06640850414694331,0.06426191652090787,0.06283468447433903,0.06796653185233129,0.06827160950660821,0.06784502989389574,0.07565738208320763,0.07639697453318867,0.0757354456786997,0.07878092435765675,0.08339399156004479,0.0773839194092654,0.07531327982625162,0.07406372254030541,0.07765903611254853,0.0775998087123231,0.08010676423875722,0.08628929146985778,0.08843428830217799,0.09020680720251473,0.0919253027629517,0.08906421505402226,0.08979877948833978,0.08487774874128116,0.08461316023279912
COALINDIA,,0.04032515591697368,0.03848588225779438,0.037396855414343594,0.03490821130777121,0.03160398495960404,0.033478166584450436,0.03198903706288128,0.03196448017819471,0.03209889702388635,0.03237871147343217,0.031870097155556464,0.031008211693921817,0.02490244337198308,0.026877980015446237,0.026193263065758584,0.024986831518455335,0.024307377513401306,0.025578218057597277,0.024238073809094828,0.02271820049030258,0.022937498720405205,0.02492593991709636,0.02454917683900059,0.022098851944317547,0.021387583485803843,0.020377899416634038,0.019592746602022152,0.01851569480635621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027439082059072306,,,,,,,,,,,,,,,,
GRASIM,0.023103266458041543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,0.022638891579980194,,,,,,,,,,,,,,,,,,,,0.029094394822006635,0.028489264174782036,0.029502395134642777,0.03031289964844456,0.031092536543953338,0.02934584076303486,0.029417575710103498,0.033596684985101086,0.034225886438969524,0.03186682805909403,0.03573396686085815,0.03737652461598118,0.03601019244984647,0.03648210347096996,0.04206659098458098,0.04016958603370477,0.03988593973985759,0.04015314141692215,0.03792417137370074,0.037611769952210945,0.03958213447484811,0.039570212098671585,0.039550922018906094,0.03696122880101956,0.03696122880101956,0.037016837248789486,0.038673223227538904,0.03821799805169898,0.042851988644544634,0.03883340258480331,0.03929988478008761,0.03950152971954302,0.04292547293777056,0.04389596648403848,0.04389596648403848,0.03887127326777737,0.04108654951925208,0.038586003482658136,0.03826287759431211,0.035360179151049574,0.03352930285679157,0.031521884045364636,0.030697048097598375,0.029489020443178027,0.03006355127911572,0.031401106831997004,0.03180265611487638,0.03647021362552498,0.03526765920215849,0.03521923818827912,0.032768367464463384,0.032721608190432086,0.03524434115958087,0.03509991363069715,0.036769131874965444,0.03776315353449771,0.037259205813186085,0.038100853256702684,0.04027895051740653,0.04027895051740653,0.04030523323225093,0.04145622457874749,0.041246988052149366,0.03850930196244326,0.038489274249375496,0.037796214972072216,0.03474186664440366,0.03444726239175147,0.03725393906614942,0.03962622213394866,0.03907037315553086,0.037516576312496726,0.03930891197699354,0.04051050347604396,0.04095415592754105,0.0417699786968772,0.038142408901782734,0.03529907615005644,0.03627277840730713,0.03514370189191705,0.035208356110509056,0.03178941877985405,0.03179076404645861,0.029128349560298295,0.027781567489483454
