,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31,2023-06-30,2023-09-30,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31,2025-06-30,2025-09-30,2025-12-31
ADANIENT,0.002143407221121145,0.0016189050591600333,0.0027654207585966167,0.003443023027817307,0.002766128444857042,0.0028722682831000936,0.0027428483354707497,0.0036904212121947858,0.003232668163361224,0.0030738072176987896,0.005199666463194649,0.006836352591546804,0.013693698045547008,0.018446926174020876,0.01593230536917165,0.018477131116062057,0.02173640452579083,0.027009107439883853,0.03607303865959993,0.03792940301086651,0.018260410034157952,0.022335075617914656,0.021383068264603556,0.02256073725101968,0.023939600071636112,0.022008597356349763,0.019916353196646468,0.016843346915888787,0.015520513389006929,0.0157655672760902,0.015470436888775113,0.014583266074338547
ADANIPORTS,0.016269672086027732,0.015201071367113196,0.012746677729506923,0.015174868673491614,0.014008930030236916,0.014328453086575661,0.013943375624403091,0.011611495231432402,0.010613722141623429,0.012162458553035955,0.010752609770037608,0.012397785790619486,0.016769340703091173,0.015665222549961794,0.01455891863797221,0.014351194579895947,0.015710720190005058,0.015034118547522892,0.01564591012411369,0.015020838540775098,0.01231183013926088,0.012913642683621161,0.01373694209679832,0.015244852533656409,0.018882999538639627,0.019317419267380443,0.017352964399886667,0.015281115684500338,0.01477384306080334,0.01633591817506194,0.016216575348786937,0.01640464161248907
AMBUJACEM,0.009458073061845613,0.007531439817003481,0.007682416763820974,0.00781258499090958,0.007607011266152382,0.0066396626192666,0.006250047879116112,0.005664432287199583,0.005917388585614273,0.0062152919149486485,0.006197723120818151,0.006187134599018961,0.007178866000287785,0.00729575077370091,0.007596635386689421,0.007137010000457019,0.005767183282014871,0.007712049812062139,0.00927137626112998,0.008875225623988847,0.006569642818768909,0.006861870819591489,0.00651677544217817,0.0071436528793175445,0.008788601571891859,0.010000172249334282,0.008652973270717852,0.007592588334107415,0.0076756856519686265,0.007417107185715804,0.007535624696298676,0.006988957116503464
APOLLOHOSP,0.0033614106165825866,0.0029321484303523764,0.0027742565911120618,0.003382633392608911,0.0029850126840226415,0.003260833220150521,0.003302222157538555,0.0032138733018763264,0.0033487836997455104,0.003323102664533132,0.004712230983079114,0.004311429344671148,0.004993553948710469,0.005737980511995236,0.006300122673012634,0.007019455484130861,0.006311360549070051,0.00567484053162423,0.005731377544413143,0.005513498058459738,0.005640563203378626,0.005980735523096916,0.005716104541511933,0.005673251656766794,0.005983663782388647,,0.0057543417747650235,0.006041388048599309,,,,
ASIANPAINT,0.023448095099877542,0.023573347183660786,0.022823255295902702,0.024530242270499703,0.02510418892852898,0.021770807902936964,0.02774961766581591,0.02652343926231639,0.032737488061087165,0.027757787273919164,0.02909519039012414,0.03303325446125142,0.02824437474685904,0.030846381434282134,0.029640906310178496,0.030816756158599277,0.02800421195689189,0.02717063811669612,0.028519497719385476,0.024848513093532396,0.023582629498313853,0.025911559249157546,0.023062722146869497,0.022230014952597195,0.017587165311038953,0.016826398290050233,0.017606538407563183,0.01251985993760617,0.012924368383767308,0.011710141123323225,0.012057050286781926,0.013995738097523653
AXISBANK,0.030297566542862427,0.026878234535778648,0.030559385160577757,0.031207509491874633,0.03691677584509282,0.03702733771121445,0.03320702367358685,0.034438750122105365,0.022805986963878033,0.02049261807276766,0.020644661347171075,0.0245802454599106,0.02575874049581275,0.025477453675767144,0.023141867944070638,0.020409804147230357,0.022867087283176806,0.021101602842455252,0.020601044167712267,0.02472884171593269,0.024141678184941066,0.024919124758575908,0.02480782001286223,0.02359777929689591,0.02121544676116826,0.023732025756184015,0.021227413704532568,0.01901204392101893,0.019813297463410498,0.019376829234738806,0.018781177378859728,0.019340994750400554
BAJAJFINSV,,0.0019019414811312484,0.001858143402459646,0.002023699130506187,0.0020390532729251,0.0023769850243705822,0.0023327319711660844,0.0024243194218594977,,,,,,,0.002792558416469805,,0.0026628068685640915,,0.024472756697624925,0.021255100874990582,0.018455504589571944,0.019973589923162133,0.019091592081893725,0.01867990682289708,0.017223560536749335,0.015408642642098392,0.01755447561116951,0.014449841295441114,0.01861134656914664,0.017131015057961517,0.01714780653386221,0.01657091771030602
BAJFINANCE,0.0023119611522942358,0.002663083213739245,0.0023840225417129926,0.002937632552486474,0.00312303025488782,0.0036605289191991453,0.00395954571655415,0.00404997508698452,0.002796707059596719,0.002992059543524563,0.0030873288983737667,0.004061576173967951,0.003679722831050814,0.003967308723458908,0.004489216944094441,0.004068416438683588,0.004238168574526865,0.0034881131103219865,0.004010230042832181,,,,,,,,,,,0.03034820656001254,0.033246865295422465,0.03181683238826332
BEL,0.0023105721970366395,,,,,,,,,,,,,,,,,,0.006531732214753312,0.006087255564167036,0.006389056894616461,0.007384154048261838,0.0077231411970184495,0.009195579084125986,0.009581905887279711,0.013451640221807764,0.011525709229903173,0.012276566006655745,0.012766712410821083,0.016029850022179624,0.01579417344181377,0.015664328993706556
BHARTIARTL,0.03202605932710565,0.027202049292641202,0.022972567362129572,0.021594455276098067,0.02140175715348029,0.02988508567865434,0.031092672381310426,0.03636588470037823,0.04923913907840002,0.05235473660366234,0.03514696259242309,0.034664874451306164,0.032992817250062575,0.030890636838551467,0.036523205841953746,0.03872028787416334,0.04266935563410326,0.042676649263891475,0.042882993396461205,0.0407060503885935,0.04020857855840507,0.04233806905648053,0.042617889609418626,0.04258836912720587,0.04817267302989247,0.052668853835106534,0.05750818044054693,0.05535255747558961,0.060864902456675724,0.06333714499190633,0.061232724133507214,0.06427273008919508
